property_id,property_name,city,tier_city,hotel_star_rating,min_price,max_price,avg_price,rating_location,rating_hospitality,rating_facilities,rating_cleanliness,rating_value_for_money,rating_food,overall_review_count,overall_review_score,site_review_count,site_review_rating,value_segment
ZRX00002,Hotel Raama,Indore,A,2,1912,2100,2006,4.5,1.2,2,4.4,1.9,3.6,1112,3.11,181,4.2,
ZRX00003,Hotel Sitara Paradise,Guwahati,B2,2,1444,1508,1476,4.9,2.5,4.6,2,1.6,4.9,1160,2.62,154,2,
ZRX00017,Royal Inn,Jammu,B2,2,1365,1533,1449,1.5,3.1,4.7,4.4,4.7,1.8,1343,3.75,241,3.7,
ZRX00018,Manisha Service Apartments,Rajkot,B1,3,1886,2857,2371.5,4.8,1.3,3.6,3.4,1,4.7,1188,3.5,307,3.8,
ZRX00021,Royal Inn,Mumbai,A1,2,2447,2602,2524.5,1.6,1.7,2,4.4,1.2,2.1,1101,3.26,342,2.2,
ZRX00025,"Transit Living, Jayanagar",Salem,B2,3,1855,2234,2044.5,4.5,3.4,4.6,3.9,4.3,4.9,968,2.38,379,3.8,
ZRX00027,New Minar Group Of Houseboats,Mysore,B2,1,807,1052,929.5,4.1,3.7,4.4,1.6,4.4,1.6,1595,3.12,780,2.4,
ZRX00030,Marine High Homestay Malvan,Kanpur,A,1,1358,1736,1547,1.1,1.9,2.6,3.5,1.1,2.4,615,2.8,206,4,
ZRX00043,Hotel Kasturi Palace,Agra,B1,2,1471,1727,1599,2.2,1.2,2.1,4.5,2.5,4.7,995,3.65,109,2,
ZRX00046,Hotel Maharaja Regency,Gandhinagar,A,3,2989,3522,3255.5,4.2,2.5,4.5,2.4,2.6,4.2,1009,3.03,465,4,
ZRX00058,Thirty Three- Boutique Hotel,Hyderabad,A1,3,2979,3452,3215.5,4,4.1,4.9,1.3,1.6,1.3,1162,3.83,525,1.2,
ZRX00062,Hotel Uma Pati,Jamnagar,B2,1,838,1130,984,1.4,4.8,1.7,1.2,1.4,2.3,1736,3.08,693,4.3,
ZRX00079,Hotel Arma Executive,Aurangabad,B2,1,828,1065,946.5,2.3,4.8,2.4,4.3,2.3,1.5,1291,2.59,187,3.4,
ZRX00080,Hotel Arma Executive,Indore,A,1,1221,1640,1430.5,3.4,3.8,3.9,4.8,1.7,4.1,1080,3.05,177,2.3,
ZRX00081,Moon International Hotel,Meerut,B1,2,1655,1842,1748.5,1.7,1,3.2,4.5,4,3.4,1237,3.79,594,3.1,
ZRX00084,Hotel Aishwarya,Salem,B2,1,746,1153,949.5,2.9,3.1,3.1,3.5,3.7,4.5,440,3.39,147,2.3,
ZRX00085,De Ocean inn,Patiala,B2,1,949,1136,1042.5,4.9,4,1.7,4.7,3.8,2.7,851,2.6,76,3.9,
ZRX00089,Benakanuru Homestay,Thrissur,B2,1,922,1142,1032,2.1,1.1,4.9,4.3,4.5,2.6,721,2.63,346,2.2,
ZRX00102,Hotel Savi Regency,Agra,B1,2,1630,1752,1691,4.4,1.2,1.8,1.2,4,2.9,529,3.23,70,3,
ZRX00111,Pacific inn resort Sohna road Gurgaon,Kollam,B2,3,1714,2129,1921.5,3.7,4.8,3.5,3.4,3,1.1,1218,1.9,160,2.1,
ZRX00116,Yasmin Resort,Patiala,B2,3,1753,2059,1906,3.8,2.4,2.5,1.7,4.5,1,1232,2.99,180,2.5,
ZRX00123,Hotel Apollo,Jamshedpur,B1,2,1672,1706,1689,3.3,4.2,2.3,4,4.2,3,881,2.71,87,1.3,
ZRX00124,Hotel Girish,Aurangabad,B2,1,907,1187,1047,4.2,1.5,2.8,4.6,2.2,2.8,1697,2.95,93,4.2,
ZRX00125,Nigeen Residency Resort,Kurnool,B2,3,1705,2257,1981,3.4,2.3,4.7,1.2,1.3,2.2,350,2.84,55,3.2,
ZRX00133,Country Spa Kuteeram,Tiruchirapalli,B2,1,710,1006,858,4.7,1.2,3,2.6,4.1,2.9,1525,3.04,417,2.1,
ZRX00134,Sai Saphhire Building 3BHK 9 Star Hospitalities,Roorkee,B2,1,739,1041,890,2.2,2.4,1.9,2.8,1.3,3.8,1492,3.29,118,2.2,
ZRX00140,Hotel City Heart,Anand,B1,1,931,1259,1095,3.6,1.1,1.2,3.1,1.1,2.9,1902,2.87,656,2.5,
ZRX00143,Hotel Itafort,Varanasi,B1,1,998,1435,1216.5,3.5,2.2,4.9,4.8,2.9,4.2,1370,3.38,219,4.6,
ZRX00148,Oscar Hotel,Thiruvananthapuram,B1,3,1967,2635,2301,2.3,1.9,4.4,1.2,3.8,2.8,1618,3.34,125,2,
ZRX00151,KODAI HILL VIEW KODAIKANAL,Chandigarh,B2,1,768,1158,963,3.8,1.1,1.4,3.7,4,2.3,1325,3.05,68,1.7,
ZRX00155,Beccun Designer Hotel,Warangal,B2,1,723,1077,900,4.2,2.3,4.2,4.7,3.5,3.7,1448,2.99,212,2.6,
ZRX00163,Hotel Sita,Chennai,A1,2,2491,2903,2697,2.4,1.7,1.9,2.2,4.3,4.1,1179,2.47,324,4.9,
ZRX00165,Hotel Blue Bird,Indore,A,1,1479,1742,1610.5,3.1,3.6,5,4.4,4,1.9,1042,3,368,2.2,
ZRX00171,Neelam's Countryside,Bhilai,B2,2,1458,1707,1582.5,4.8,2,3,3.1,3.5,4.2,1337,3.08,154,1,
ZRX00172,Hotel Satya Palace,Delhi,A1,2,2250,2602,2426,1.4,3.7,2.6,1.3,3.8,2,1170,3.43,489,3.3,
ZRX00182,Ramachandraa Residency,Bhopal,A,1,1478,1733,1605.5,2.8,1.2,2.2,3.9,3.5,4.9,1601,3.26,291,4.2,
ZRX00185,Corner Stay Serviced Apartment Peelamedu,Allahabad,B1,1,1160,1234,1197,1.6,3.5,4,1.7,2.3,2.9,1465,2.71,646,2.4,
