property_id,property_name,city,tier_city,hotel_star_rating,min_price,max_price,avg_price,rating_location,rating_hospitality,rating_facilities,rating_cleanliness,rating_value_for_money,rating_food,overall_review_count,overall_review_score,site_review_count,site_review_rating,value_segment
ZRX00001,HOTEL TEMPLE CITI,Bhavnagar,B2,3,1826,2323,2074.5,2.2,2.1,4.9,5,1.6,1.4,1254,3,304,3.2,Value
ZRX00004,Sun N  Sand  Apartment,Mysore,B2,1,979,1038,1008.5,3,2.4,2,3.4,1.7,4.9,1414,2.42,167,4.8,Value
ZRX00005,Manek The Ocean View,Chandigarh,B2,3,1884,2078,1981,1.9,3.1,5,2.7,4.5,3.1,1704,3.04,507,2.3,Standard
ZRX00006,Kanchan Recreation,Srinagar,B2,3,1801,2088,1944.5,4.3,2.1,2.6,3.2,4.9,4.9,1031,2.97,4,4.8,Standard
ZRX00007,Urban Hermitage,Hajipur,B2,3,1744,2267,2005.5,4.1,3.2,3.5,4.4,4,2.9,1533,3.08,527,3.5,Value
ZRX00008,Hotel Sunshine Inn,Bangalore,A1,3,3099,4056,3577.5,1.6,1.8,3.7,4.7,5,1.9,1108,2.77,274,1.5,Value
ZRX00009,Romaldo Guest House,Jamnagar,B2,1,735,1045,890,2.7,2.2,2.4,4.2,5,1.5,815,2.71,98,2.6,Normal
ZRX00010,Joys Palace,Mumbai,A1,5,10712,12835,11773.5,1.6,1.3,1.5,4.7,3.2,2.5,1097,2.67,473,4.9,Normal
ZRX00011,Hotel Dezong,Amravati,B2,1,844,1035,939.5,1.4,3,1.8,1.3,2.6,2.2,782,3.41,63,1.9,Normal
ZRX00012,Haut Monde by PI Hotels,Thiruvananthapuram,B1,4,3401,4234,3817.5,5,4.6,3.7,4.6,2.6,1.9,1873,3.23,120,4.7,Value Plus
ZRX00013,Hotel Ceasar Palace,Indore,A,3,2251,3643,2947,4.5,3.8,3,2.7,1.5,3.6,923,4.09,236,2.9,Value
ZRX00014,OLV Palace Hotel- Koppa 90 Km from away chikmagalur,Thrissur,B2,1,932,1087,1009.5,2.8,2.8,2.7,4.7,4.8,1.6,1604,2.77,370,4.7,Value Plus
ZRX00015,hotel shri krishna,Guwahati,B2,1,937,1069,1003,2.3,2.7,3.6,1.5,4,1.2,1310,3.26,402,5,Value Plus
ZRX00016,The Royal Park Plaza,Coimbatore,B1,2,1361,1718,1539.5,1,2.6,1.5,2.7,3,3.8,1341,2.26,190,4.3,Normal
ZRX00019,Hotel Empire,Jamnagar,B2,2,1189,1650,1419.5,2.1,2.8,4.3,4.5,2.7,3.7,1351,2.96,116,1.9,Value
ZRX00020,Hotel Abhay Palace,Gwalior,A,2,1878,2028,1953,1.2,3.9,4.6,4.3,1.6,3.2,1272,3.15,500,1.7,Standard
ZRX00022,Hotel Empire,Gwalior,A,2,1816,2379,2097.5,1.6,3.9,3.7,2.2,3,1.2,1455,2.51,713,2.9,Value
ZRX00023,Hotel Calista,Anand,B1,3,1883,2728,2305.5,4.3,2.3,1.5,3.3,4.7,4.7,1229,2.73,145,3.5,Normal
ZRX00024,Hotel Le Plaza,Bhilai,B2,1,798,1047,922.5,1.2,2,3,4,4.8,3.6,1714,2.77,252,1.6,Normal
ZRX00026,Glory Palace,Gorakhpur,B2,3,1813,2256,2034.5,1.2,1.8,4.3,4.4,4.2,3.2,1334,3.41,291,2.8,Value Plus
ZRX00028,Hotel GH Harm-ul-Aziz,Guwahati,B2,1,813,1170,991.5,2.7,3.1,2.2,4.7,1.3,1.2,1318,3.49,289,1.5,Value
ZRX00029,P P Motel,Bhopal,A,3,2345,3838,3091.5,4.2,2.9,3.9,3,2.5,3,1164,3.01,535,2.8,Value Plus
ZRX00031,Srivar Hotels,Nellore,B2,1,821,1133,977,3.5,4.8,3.8,2.5,2.8,2.1,855,3.29,50,1.8,Value
ZRX00032,Hotel Saugaat Regency,Jammu,B2,1,794,1099,946.5,3.2,3,4.5,4.5,2,2.3,1547,3.36,428,3.2,Standard
ZRX00033,Hotel Alps,Amravati,B2,1,820,1178,999,1,3,2.9,3,2.9,1.7,627,2.34,226,4,Standard
ZRX00034,Hotel New Centre Point,Vellore,B2,1,932,1106,1019,2.9,2,2.8,1.3,2.3,1.8,989,3.9,184,2.3,Value Plus
ZRX00035,Hotel Sun Temple,Jammu,B2,1,951,1033,992,4,1.5,3.2,1.1,3.9,3.7,1445,3.48,126,3.9,Value Plus
ZRX00036,Barlow Comfort Inn,Amritsar,B1,1,803,1437,1120,2.4,1.2,3.4,4.3,2.6,4.8,1704,2.93,528,1.6,Standard
ZRX00037,Hotel Neelkanth,Delhi,A1,1,1698,2107,1902.5,4.8,4.9,4.1,1.9,1.7,3.8,1714,3.27,467,1.9,Super Value Plus
ZRX00038,Trivedi International,Bhilai,B2,1,794,1161,977.5,4,1.6,1.7,4.2,1.5,3.9,976,3.45,399,1.6,Value Plus
ZRX00039,Royal Inn,Anand,B1,2,1425,1736,1580.5,2.6,1.1,4.3,1.5,1.8,3.8,1657,3.32,513,4,Normal
ZRX00040,Hotel Mahatma Inn,Jamnagar,B2,1,874,1070,972,4.5,3.2,4,4.4,2.8,4.7,1468,3.13,608,1.4,Value Plus
ZRX00041,Hotel Classic,Chennai,A1,1,1569,1886,1727.5,2.9,3,4.2,2.5,3.2,2.4,556,2.26,53,3.5,Normal
ZRX00042,Misty Palms,Chandigarh,B2,2,1368,1663,1515.5,1.7,2.9,4.4,1.5,2.6,4.6,1097,3.62,312,3.1,Value Plus
ZRX00044,Hotel Kasturi Palace,Allahabad,B1,2,1667,1728,1697.5,3.4,3,1.5,1.6,4.9,4.9,1274,2.76,387,4.3,Value Plus
ZRX00045,Marine High Homestay Malvan,Hubli,B2,1,918,1001,959.5,4.4,2,2.8,2.9,4.8,1.5,749,3.49,56,1.7,Value
ZRX00047,Hotel Red Inn,Sangli,B2,2,1032,1556,1294,4.9,2.6,2.7,3.8,2.5,3.2,923,3.14,450,4,Normal
ZRX00048,Hotel North Avenue,Bhavnagar,B2,3,1902,2124,2013,2.8,2.9,2.1,4.1,1.1,3.7,1439,3.51,416,4.6,Value
ZRX00049,Hotel Kasturi Palace,Lucknow,A,2,1997,2598,2297.5,2.4,1.7,2,4.7,1.8,2.1,1317,3.24,284,3.9,Super Value Plus
ZRX00050,El Paradiso,Nagpur,A,0,815,1300,1057.5,4.6,1.4,3.2,4.6,4.5,3.2,1130,3.51,95,1.1,Super Value Plus
ZRX00051,The Shiwalik - HPTDC,Aligarh,B1,1,843,1463,1153,3.9,4.1,1.5,2.3,4.4,4.7,947,1.84,81,4,Standard
ZRX00052,Apollo Serviced Apartment,Jabalpur,A,1,1275,1682,1478.5,4.5,5,2.8,3.5,4.9,4.4,1046,2.97,332,1.3,Value
ZRX00053,Hotel Sun Temple,Guntur,B2,1,976,1012,994,4.9,1.7,2.6,2.7,4.2,1.3,1339,2.72,638,2.8,Value
ZRX00054,Hotel Om Sai Palace,Dehradun,B2,2,1427,1511,1469,2.1,4.6,3.1,1.7,3.1,3.1,1436,2.94,483,4.8,Value
ZRX00055,Ideal Beach Resort,Jamshedpur,B1,3,2091,2662,2376.5,4.4,2.9,2.6,3.2,4.6,3.2,1739,3.32,595,3.3,Value Plus
ZRX00056,Villa Paradiso,Faridabad,B1,3,1831,2596,2213.5,4.5,3.1,4.9,1.3,3.9,4.4,810,2.26,66,3.6,Normal
ZRX00057,Ashoka New Diamond Hotel,Surat,A,3,2810,3209,3009.5,4.9,5,3.8,3.4,1.2,3.3,1034,2.87,393,4.2,Value
ZRX00059,La Flora Amberley Resort,Kurnool,B2,2,1373,1714,1543.5,2,2.8,2.8,3.8,4.1,2.8,1645,2.97,472,1.6,Value Plus
ZRX00060,Hotel Sakthi Grand,Madurai,B1,2,1450,1862,1656,1.6,2.9,2,3.2,1.9,1.5,1054,3.62,453,1.6,Standard
ZRX00061,Amoeba Shivalik River Retreat,Etawah,B2,3,1863,2070,1966.5,3.2,1.4,1.8,1.7,3.4,1.7,1387,2.93,412,3.2,Normal
ZRX00063,Hotel Sai Shraddha,Guwahati,B2,1,909,1007,958,4.3,2.5,1.7,4.9,2.7,2.8,1515,2.8,633,1.8,Value
ZRX00064,Aymanam Village,Hubli,B2,1,863,1180,1021.5,2.2,3.8,1.7,3.8,4.7,2,1820,3.02,572,4.8,Value Plus
ZRX00065,Hotel Uma Pati,Nashik,B1,1,1064,1434,1249,4.2,1.4,3.5,1.4,3.1,1,1612,3.33,555,3.1,Value Plus
ZRX00066,Hotel Aramana,Ahmedabad,A,2,1629,2514,2071.5,4.1,1.3,1.2,3,4.7,2.9,1480,2.99,360,2.5,Value
ZRX00067,Hotel Shiv Vilas,Nashik,B1,3,2159,2671,2415,4.9,1,1.5,1.6,4.1,4.2,1519,2.91,325,2.8,Value
ZRX00068,Aymanam Village,Thiruvananthapuram,B1,1,804,1488,1146,3.1,4.8,1,1.3,2.3,1.5,1329,3.51,548,2.8,Standard
ZRX00069,Hotel Sea Breeze,Srinagar,B2,3,1956,2253,2104.5,3.4,3.9,1.7,3.6,2.5,1.3,1715,2.87,45,1.8,Value Plus
ZRX00070,Hotel Sanj,Jabalpur,A,2,1817,2242,2029.5,5,2.9,1.5,4.7,3.1,4.3,1353,3.01,387,2.3,Value Plus
ZRX00071,Amoeba Shivalik River Retreat,Dhanbad,B1,3,1920,2782,2351,4.3,3.1,2.2,1.2,3.7,4.2,1089,2.94,40,1.2,Standard
ZRX00072,Coorg River View Resort,Gwalior,A,1,1460,1580,1520,4.6,1.7,4.9,2.1,3.7,3.7,1255,3.03,428,3.6,Value Plus
ZRX00073,Koithra Holiday Home,Roorkee,B2,1,954,1004,979,1.1,2.8,3,4.7,2.7,2.7,933,2.71,306,1.6,Standard
ZRX00074,Hotel Shingar Regency,Dhanbad,B1,1,1077,1421,1249,3.5,1.4,3.7,3.9,4,3.7,651,2.97,285,1.5,Super Value Plus
ZRX00075,Rainbow International,Vishakapatnam,A,1,1286,1524,1405,4.1,1.8,3.4,4.5,3.6,3.4,1075,3.03,478,4.1,Normal
ZRX00076,Hotel Regal Residency,Patiala,B2,1,722,1012,867,1.3,1.6,4.4,3.2,4.5,3.5,1406,2.81,39,4.6,Normal
ZRX00077,Funworld Resort - Unit of Park Club & Resort Ltd,Vellore,B2,3,1848,2226,2037,5,2.7,3,1.8,2.2,4.4,902,2.81,136,4.3,Value
ZRX00078,The Kurumba Village Resort,Amritsar,B1,4,3328,5061,4194.5,3.7,2.2,1.8,4.3,3,3.3,1643,3.15,701,5,Super Value Plus
ZRX00082,Kemmanagundi Homestay,Mysore,B2,1,732,1060,896,1.3,5,4.4,2.1,4,4.2,1244,2.98,462,4.9,Normal
ZRX00083,Umaid Villa,Jamnagar,B2,1,935,1027,981,2.8,2.4,2.5,1.5,2.6,2.3,1640,3.07,438,3.5,Standard
ZRX00086,Hotel Mist Flower Residency,Tiruchirapalli,B2,1,762,1149,955.5,3.3,4.9,3.9,3.5,1.4,1.5,719,2.68,336,1.6,Standard
ZRX00087,Dream Inn Serviced Apartment Sholinganallur,Vishakapatnam,A,3,2939,3960,3449.5,1,2.5,4.2,2,4.8,1.5,1623,2.96,399,3,Super Value Plus
ZRX00088,Hotel Jeet Residency,Nellore,B2,1,974,1177,1075.5,4.5,1.6,1,1.2,4.4,3.9,1581,2.56,45,1.3,Super Value Plus
ZRX00090,Hotel Moonlight,Jodhpur,B2,1,841,1084,962.5,4.5,2,4.7,3.3,2.4,4.1,210,2.72,49,4.8,Value
ZRX00091,Naturedale Plantation Villa,Surat,A,1,1217,1573,1395,3,3.5,3,4.3,4.9,3.3,1388,3.23,612,3.5,Normal
ZRX00092,Parwati homes,Kochi,B1,1,875,1370,1122.5,1.1,1.5,4.5,4.9,2.4,4.4,1482,3.41,559,4,Standard
ZRX00093,Hotel Summer Hill,Anand,B1,1,1003,1346,1174.5,4.7,4.4,3.6,1.3,4.4,4.6,1404,3.39,452,3.6,Value Plus
ZRX00094,Hotel Holiday Home,Rajkot,B1,1,1012,1487,1249.5,2.4,3.6,2.1,2.6,1.1,4.3,1143,2.34,386,4.7,Value
ZRX00095,Hotel Aroma,Bhopal,A,2,1571,2434,2002.5,4.3,4.4,3.1,4.4,4.6,2.9,1309,3.38,551,4.1,Value Plus
ZRX00096,Manhar Residency,Anand,B1,1,1197,1351,1274,2.7,4.7,3.5,1.1,1.1,4.2,869,3.26,316,4.1,Super Value Plus
ZRX00097,Hotel Empire,Ahmedabad,A,3,2946,3276,3111,3.8,3.6,2.5,1.1,1,2,1000,3.32,362,2.2,Value
ZRX00098,Palace on Waves - Luxury Cruise,Dehradun,B2,4,2432,3939,3185.5,4.8,2.3,4.8,4.6,2.5,3.8,851,2.72,375,1.6,Super Value Plus
ZRX00099,HOTEL NAMAN,Aligarh,B1,1,924,1486,1205,2.8,5,1.3,3.5,4.4,3.4,1027,3.56,402,2.8,Value Plus
ZRX00100,Milan Guest House,Nagpur,A,1,1424,1763,1593.5,4.2,2.5,3.5,1.9,3.9,5,1727,3.37,413,3.5,Super Value Plus
ZRX00101,Ayush Guest House Almora,Aligarh,B1,1,865,1218,1041.5,3.3,1.5,2.2,1.1,3.5,3.5,1359,3.28,674,4.4,Normal
ZRX00103,Budget Cottages,Pune,A,1,1426,1670,1548,1.2,4.3,2.6,2.9,1.1,2.9,731,3.58,226,1.6,Value Plus
ZRX00104,Malancha Nature Park,Salem,B2,1,972,1191,1081.5,3.4,4.9,4.1,4.9,2.8,2.6,1599,2.89,755,3.4,Super Value Plus
ZRX00105,Naturedale Plantation Villa,Gorakhpur,B2,1,746,1089,917.5,2.8,1.2,1.5,2.5,4.3,2.1,1319,3.41,403,3.9,Normal
ZRX00106,Metro Plaza,Srinagar,B2,1,822,1040,931,5,1.6,1.9,4.3,2.6,4.1,885,3.59,268,1.2,Standard
ZRX00107,Hotel Paras,Nashik,B1,1,885,1300,1092.5,3,1.6,1.3,3,3.8,4.9,1766,2.85,765,3.2,Normal
ZRX00108,Cyber Inn,Rajkot,B1,1,848,1375,1111.5,2.2,4.8,1.4,3.4,3.6,2.3,862,2.54,337,4.5,Normal
ZRX00109,Neo Zone Apartment Greater kailash,Hajipur,B2,1,800,1138,969,1.5,3.9,3.1,2.6,2.9,2.6,1372,3.42,582,1.4,Value
ZRX00110,Hotel Holy Shrine,Varanasi,B1,1,947,1275,1111,3.4,3.8,2.3,2.4,3,3.7,1301,2.63,460,3.6,Normal
ZRX00112,Kemmanagundi Homestay,Faridabad,B1,1,1136,1339,1237.5,2.4,2.8,3.9,4.6,3.7,1.7,974,3.15,293,1.5,Value Plus
ZRX00113,Hotel Jewels,Mysore,B2,1,988,1046,1017,1.5,4.7,3,2.3,1.6,4.9,1677,3.09,131,2.3,Value Plus
ZRX00114,The  executive inn,Guwahati,B2,1,915,1033,974,4.3,5,4.8,2.7,4.4,3.7,1749,3.35,734,3.4,Value Plus
ZRX00115,Hotel New Gulfam,Coimbatore,B1,1,984,1242,1113,4.1,1.7,4.8,3,5,3.8,1156,2.53,404,2.8,Normal
ZRX00117,Hotel New Firangai Lodging,Thrissur,B2,1,834,1093,963.5,2,3.1,4.7,2.4,3.2,3.1,1306,2.87,547,1.4,Standard
ZRX00118,Bahia Resorts,Chandigarh,B2,3,1898,2025,1961.5,3.1,4.9,4.1,1.1,1.4,4.7,1155,2.89,109,1.9,Normal
ZRX00119,Regenta Resort Varca Beach Goa,Etawah,B2,4,2388,3693,3040.5,4,1.3,1.2,1.2,4.3,4.1,1118,2.65,511,4.3,Standard
ZRX00120,Omega Beach Resort,Gandhinagar,A,1,1427,1500,1463.5,1.3,4,4.9,2.5,1,4,1239,2.88,334,2.3,Standard
ZRX00121,Hotel New Green View,Srinagar,B2,1,859,1101,980,3.4,3.6,1.9,4.6,2.2,4,1495,3.01,13,4,Value Plus
ZRX00122,Hotel Spiti,Guntur,B2,3,1937,2335,2136,4.5,2.1,1.2,1.6,1.6,4,1640,3.07,447,1.1,Value Plus
ZRX00126,Hotel New Tamilnadu,Hajipur,B2,1,933,1120,1026.5,2.6,2.3,4,2.1,4.5,2.4,1349,2.53,545,4.3,Value Plus
ZRX00127,Hotel Hameed,Varanasi,B1,1,1158,1291,1224.5,4.2,3.1,2.1,1.8,3.8,4.5,1287,3.32,148,5,Value Plus
ZRX00128,KODAI HILL VIEW KODAIKANAL,Sangli,B2,1,794,1091,942.5,3.9,3.4,2.7,4.5,2.8,2.8,1475,3.24,49,2.7,Value
ZRX00129,Beccun Designer Hotel,Srinagar,B2,1,860,1175,1017.5,4.9,4.5,3.8,5,4.4,2.8,1706,2.73,812,1.4,Super Value Plus
ZRX00130,Aviva Hotel,Etawah,B2,1,984,1048,1016,3.7,2.9,4.5,1.3,1.5,4.5,773,2.45,334,3.3,Value Plus
ZRX00131,Maruti Guest House,Amravati,B2,1,728,1075,901.5,3,4.5,2.4,2.7,4.9,1.6,1252,2.34,445,1.3,Normal
ZRX00132,Coorg Coffee Flower,Chennai,A1,1,1521,1856,1688.5,4.2,3,3,1.8,2.7,2.1,1423,3.22,138,4.5,Normal
ZRX00135,Aviva Hotel,Madurai,B1,1,1020,1408,1214,1.7,4.8,3.6,1.1,1.8,2.2,1467,3.42,535,2.6,Value
ZRX00136,Cyema Guest House,Coimbatore,B1,1,1192,1463,1327.5,1.9,2.3,4.2,2.1,4.8,1.6,1635,3.03,758,2.6,Super Value Plus
ZRX00137,Hotel Sinjara,Chandigarh,B2,1,796,1102,949,2.2,4,2.5,1.4,2.8,1.2,1816,2.89,840,3.8,Normal
ZRX00138,Hotel New Gulfam,Pune,A,1,1370,1618,1494,1.8,3.5,4.6,2,2.5,4.6,1971,3.09,604,2.1,Value
ZRX00139,Neo Zone Apartment Greater kailash,Faridabad,B1,1,808,1253,1030.5,1.3,3.2,1,3.2,1.5,1.5,1034,3.53,250,2.2,Normal
ZRX00141,Hotel Rana Palace,Mumbai,A1,1,1583,2060,1821.5,4.8,2.6,4.5,5,4.2,1.3,867,2.11,9,2.4,Standard
ZRX00142,Hotel Paradise International,Bangalore,A1,1,1637,2108,1872.5,1.4,2.7,3.8,2,4.2,3.5,1651,3.02,471,4.1,Value Plus
ZRX00144,Adyar Ananda Bhavan Residency,Meerut,B1,1,1169,1344,1256.5,4.1,2.7,2.5,2.6,3.5,1.1,1182,2.94,102,3.2,Value Plus
ZRX00145,Hotel Tirthraj,Vishakapatnam,A,1,1312,1697,1504.5,3,4.2,1.4,2.7,3.6,4,1314,2.45,247,3.3,Value
ZRX00146,Great Place to stay Noida,Pune,A,1,1304,1585,1444.5,3,1.4,1.8,1.3,3.2,4.5,1050,3.12,453,3.6,Normal
ZRX00147,Apartment 18,Warangal,B2,1,776,1028,902,4.3,3.5,4.5,3.2,2,3.5,1802,2.71,434,4,Normal
ZRX00149,Green Reed Resort,Aligarh,B1,1,1128,1395,1261.5,2.4,3.4,4.4,3.8,4.7,1.7,1403,2.83,529,3.7,Value Plus
ZRX00150,Green Forest,Jaipur,A,2,1929,2277,2103,3.5,2.4,3.7,3.2,1.8,3,1414,3.38,53,2.4,Value Plus
ZRX00152,Blue Lagoon - Auroville Beach,Guwahati,B2,1,775,1180,977.5,1.7,4,2.3,1,1.5,2,1889,3.08,723,2.5,Standard
ZRX00153,"Jenjon Holiday Homes - Phansad, Alibaug",Pondicherry,B2,3,1959,2398,2178.5,1.4,2.7,4.4,3.4,3.1,1.4,1573,2.69,519,3.5,Super Value Plus
ZRX00154,Hotel Oyster,Pune,A,1,1480,1544,1512,3.5,3.9,1.3,2.5,1.4,1.4,600,4.03,182,4.2,Value Plus
ZRX00156,Ganpati Guest House,Nashik,B1,1,1012,1438,1225,2.6,2,3.4,4.4,4.2,2.7,892,2.36,46,4.9,Value
ZRX00157,Royal Nest,Lucknow,A,3,2802,3155,2978.5,2.7,3.7,4.8,1.9,4.1,2.3,1450,3.06,47,1.7,Value
ZRX00158,Hotel Parth Executive,Guwahati,B2,1,909,1012,960.5,1.8,2,4.6,3.9,2.1,1.7,592,2.25,265,1.8,Normal
ZRX00159,Royal Residency Andheri,Kollam,B2,1,991,1142,1066.5,1.4,3.4,2.8,2.1,2.2,1.8,951,3.64,3,3.9,Super Value Plus
ZRX00160,Annex Executive,Bhubaneswar,B2,3,1872,2146,2009,3.8,1.4,1.8,2.8,4.8,3.3,443,1.71,219,4,Normal
ZRX00161,Spring and Valley View  Resort,Indore,A,1,1279,1724,1501.5,3.4,4.9,1.6,1.2,4.6,3.4,1257,2.79,591,2.6,Value
ZRX00162,President Hotel,Thiruvananthapuram,B1,1,1063,1343,1203,3.6,3.5,1.6,2.6,3.4,1.3,1448,2.71,600,4.4,Standard
ZRX00164,Hotel Anbu International,Ahmedabad,A,1,1211,1643,1427,1.5,1.7,1.8,1.9,1.5,4.4,817,2.89,361,4.5,Normal
ZRX00166,Hotel Itafort,Rajkot,B1,1,1035,1212,1123.5,4.9,3.4,2.7,4.3,1.5,4.5,1114,3.02,83,3.5,Standard
ZRX00167,President Hotel,Bhavnagar,B2,1,768,1128,948,3.2,2.2,5,2.8,2.3,3.4,1188,3.39,142,4.5,Standard
ZRX00168,Vishal Hotel,Kurnool,B2,1,852,1017,934.5,4.7,1.2,4.7,1.5,4.3,1.8,1590,3.17,545,2.4,Standard
ZRX00169,Ceasar Palace,Madurai,B1,1,812,1225,1018.5,1.7,3.8,3.7,3.4,2.4,2,1445,2.86,595,3.1,Normal
ZRX00170,Bahia Resorts,Tiruchirapalli,B2,3,1854,2390,2122,3.2,3.9,4.5,3.7,4.8,3.2,875,3.06,227,4.9,Super Value Plus
