property_id,value_segment
ZRX00002,Standard
ZRX00003,Standard
ZRX00017,Value Plus
ZRX00018,Value Plus
ZRX00021,Value Plus
ZRX00025,Value
ZRX00027,Normal
ZRX00030,Standard
ZRX00043,Normal
ZRX00046,Super Value Plus
ZRX00058,Normal
ZRX00062,Standard
ZRX00079,Normal
ZRX00080,Normal
ZRX00081,Super Value Plus
ZRX00084,Value
ZRX00085,Super Value Plus
ZRX00089,Super Value Plus
ZRX00102,Value
ZRX00111,Normal
ZRX00116,Normal
ZRX00123,Value
ZRX00124,Super Value Plus
ZRX00125,Standard
ZRX00133,Normal
ZRX00134,Normal
ZRX00140,Normal
ZRX00143,Value Plus
ZRX00148,Standard
ZRX00151,Standard
ZRX00155,Normal
ZRX00163,Value Plus
ZRX00165,Super Value Plus
ZRX00171,Super Value Plus
ZRX00172,Standard
ZRX00182,Super Value Plus
ZRX00185,Value
ZRX00189,Value Plus
ZRX00196,Value Plus
ZRX00197,Standard
ZRX00204,Standard
ZRX00208,Value Plus
ZRX00210,Super Value Plus
ZRX00216,Normal
ZRX00223,Standard
ZRX00227,Standard
ZRX00236,Standard
ZRX00240,Value Plus
ZRX00244,Value Plus
ZRX00257,Normal
ZRX00261,Value
ZRX00262,Value Plus
ZRX00263,Value Plus
ZRX00265,Value Plus
ZRX00266,Standard
ZRX00269,Value
ZRX00273,Value
ZRX00277,Super Value Plus
ZRX00280,Standard
ZRX00285,Value Plus
ZRX00287,Value
ZRX00288,Value
ZRX00295,Value Plus
ZRX00298,Normal
ZRX00299,Value
ZRX00301,Value
ZRX00310,Super Value Plus
ZRX00313,Value Plus
ZRX00314,Value Plus
ZRX00317,Value
ZRX00321,Super Value Plus
ZRX00322,Value Plus
ZRX00331,Standard
ZRX00337,Normal
ZRX00340,Value
ZRX00341,Normal
ZRX00348,Value Plus
ZRX00349,Standard
ZRX00351,Normal
ZRX00352,Value
ZRX00354,Value
ZRX00366,Normal
ZRX00375,Standard
ZRX00379,Normal
ZRX00381,Value Plus
ZRX00385,Standard
ZRX00388,Super Value Plus
ZRX00391,Value
ZRX00392,Value
ZRX00402,Normal
ZRX00407,Normal
ZRX00408,Value
ZRX00410,Super Value Plus
ZRX00413,Standard
ZRX00414,Standard
ZRX00417,Standard
ZRX00425,Value
ZRX00427,Value Plus
ZRX00428,Value
ZRX00435,Value Plus
ZRX00438,Value Plus
ZRX00440,Super Value Plus
ZRX00441,Value Plus
ZRX00444,Value
ZRX00449,Standard
ZRX00450,Normal
ZRX00452,Normal
ZRX00453,Value
ZRX00455,Value
ZRX00457,Standard
ZRX00459,Value Plus
ZRX00460,Normal
ZRX00463,Normal
ZRX00465,Standard
ZRX00466,Normal
ZRX00470,Standard
ZRX00472,Normal
ZRX00473,Normal
ZRX00474,Super Value Plus
ZRX00478,Value
ZRX00479,Normal
ZRX00481,Value Plus
ZRX00482,Value Plus
ZRX00484,Value
ZRX00490,Standard
ZRX00491,Super Value Plus
ZRX00492,Value
ZRX00493,Standard
ZRX00497,Standard
ZRX00501,Super Value Plus
ZRX00502,Value Plus
ZRX00508,Standard
ZRX00509,Value Plus
ZRX00511,Normal
ZRX00522,Normal
ZRX00523,Value
ZRX00524,Standard
ZRX00535,Value Plus
ZRX00543,Value Plus
ZRX00549,Standard
ZRX00553,Normal
ZRX00558,Super Value Plus
ZRX00567,Normal
ZRX00571,Value
ZRX00573,Value Plus
ZRX00576,Value Plus
ZRX00580,Normal
ZRX00582,Super Value Plus
ZRX00590,Value
ZRX00593,Normal
ZRX00604,Value
ZRX00605,Normal
ZRX00607,Standard
ZRX00609,Value
ZRX00611,Super Value Plus
ZRX00614,Value Plus
ZRX00617,Value
ZRX00618,Normal
ZRX00620,Normal
ZRX00621,Value Plus
ZRX00623,Standard
ZRX00625,Value Plus
